Rank,Pair,Count,Frequency (%)
1,q1-q3,230.88211389892126,60.0%
2,q2-q3,69.60887715563634,18.1%
3,q2-q4,50.26131682173694,13.1%
4,q3-q4,12.8308749312349,3.3%
5,q1-q4,6.439368796192207,1.7%
6,q1-q2,5.824517687579229,1.5%
7,b2-q3,1.4819016240522374,0.4%
8,b1-q4,1.4414024492334185,0.4%
9,b2-q4,1.4266754765720298,0.4%
10,b1-q3,1.305177952115573,0.3%
11,b2-q2,1.2757240067927957,0.3%
12,b2-q1,1.110045564352173,0.3%
13,b1-q2,0.3994691334401684,0.1%
14,b1-b2,0.285335095314406,0.1%
15,b1-q1,0.2521994068262814,0.1%
