Rank,Pair,Count,Frequency (%)
1,q1-q3,55.16723958956205,43.5%
2,q1-q4,17.23792150015547,13.6%
3,q3-q4,16.144443780047357,12.7%
4,q2-q3,14.686473486569875,11.6%
5,q2-q4,8.328103040015307,6.6%
6,q1-q2,2.6214011337271876,2.1%
7,b2-q4,2.5017444808534046,2.0%
8,b2-q2,2.4814948934439953,2.0%
9,b1-q4,1.907142959649836,1.5%
10,b1-q2,1.6328530938314716,1.3%
11,b2-q3,1.3732902006744958,1.1%
12,b2-q1,1.0621829032026597,0.8%
13,b1-b2,1.029047214714535,0.8%
14,b1-q3,0.50808055681791,0.4%
15,b1-q1,0.18040541510201152,0.1%
