Rank,Pair,Count,Frequency (%)
1,q1-q3,141.04758066445024,41.5%
2,q1-q4,45.17130689564448,13.3%
3,q2-q3,37.27212693439211,11.0%
4,q3-q4,34.64336231433423,10.2%
5,q2-q4,23.066120930900045,6.8%
6,b2-q2,10.185542466932956,3.0%
7,b2-q4,9.973842234925494,2.9%
8,b1-q4,7.6948432155755935,2.3%
9,b2-q3,7.507074314142887,2.2%
10,b1-q2,7.100241694372024,2.1%
11,b2-q1,6.9658580688368525,2.0%
12,q1-q2,4.788106986533999,1.4%
13,b1-q3,2.521994068262814,0.7%
14,b1-b2,1.2683605204621013,0.4%
15,b1-q1,0.9977523978090841,0.3%
